Affinity Row ID,Organization Id,Name,Website,Thesis Category (2024),Owners,Status,Total Funding Amount (EUR),Core Sector
194151787,291149633,Sohar Health,soharhealth.com,Administrative AI,Raquel Scott <raquel@sempervirensvc.com>,Hot List,6850000.0,Healthcare
195803710,302638513,Volta Health,volta.health,B2B Insurtech,Raquel Scott <raquel@sempervirensvc.com>,Meeting Held,230000.0,Healthcare
199819191,292350471,Monark Markets,monark-markets.com,Financial Infrastructure,Allison Baum Gates <allison@sempervirensvc.com>,Looking for Intro,2910000.0,Fintech
199816758,286409082,Ciro,ciro.io,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,3450000.0,Enterprise Software
199078907,287524907,Paramean Solutions,parameansolutions.com,VBC Enablement,Raquel Scott <raquel@sempervirensvc.com>,Meeting Held,"",Healthcare
194457446,302429540,Sunny Health AI,sunnyhealth.ai,Care Coordination / Navigation,Colin Tobias <colin@sempervirensvc.com>,Network Pulse Check,"",Healthcare
193369752,300606375,Huckleberry,huckleberry.work,Employee Engagement,Colin Tobias <colin@sempervirensvc.com>,Not Active,"",Enterprise Software
193369763,138820731,DocStation,docstation.co,EHRs & Data Systems,Colin Tobias <colin@sempervirensvc.com>,Tracking,3210000.0,Healthcare
168651936,285478456,Guaranteed Site,onguaranteed.com,Caregiving & Aging,Raquel Scott <raquel@sempervirensvc.com>,Network Pulse Check,8360000.0,Healthcare
183325021,162576109,KindHealth,kindhealth.co,Consumer Insurtech,Raquel Scott <raquel@sempervirensvc.com>,Not Active,9450000.0,Healthcare
193735219,283488925,PatientGenie,patientgenie.com,Administrative AI,Raquel Scott <raquel@sempervirensvc.com>,To Pass,450000.0,Healthcare
193119679,292901037,Architect Health,getarchitecthealth.com,Procurement and Vendor Management,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,140000.0,Healthcare
199016647,123929749,Accrete,accrete.ai,Administrative AI,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,5090000.0,Enterprise Software
198198020,295275275,TrampolineAI,trampolineai.com,Administrative AI,Allison Baum Gates <allison@sempervirensvc.com>,To Pass,"",Healthcare
198441672,283116708,Pairup,pairup.com,Productivity Tools,Allison Baum Gates <allison@sempervirensvc.com>,Meeting,"",Enterprise Software
198209628,288627613,Quanta,usequanta.com,Business FP&A,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,4270000.0,Fintech
198209557,84841198,VoiceOps,voiceops.com,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,14550000.0,Enterprise Software
198209519,300613788,Marit Health,marithealth.com,Sourcing And Recruitment,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,2910000.0,Healthcare
198209492,288503525,Koala Analytics,getkoala.com,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,13640000.0,Enterprise Software
198209485,162596709,Inspiren,inspiren.com,Caregiving & Aging,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,47660000.0,Healthcare
188373589,280970048,Reimaginehealthcare,reimaginecare.com,Cancer & Oncology,Raquel Scott <raquel@sempervirensvc.com>,Not Active,27500000.0,Healthcare
194222591,302380108,Getbaton,getbaton.ai,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Hot List,"",Enterprise Software
193824862,290024903,Harmonic Health,harmonichealth.com,Neurological & Brain Health,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
183475676,286180757,Abstractive Health,abstractivehealth.com,Clinical AI,Raquel Scott <raquel@sempervirensvc.com>,Hot List,1860000.0,Healthcare
164486367,283768939,Beaming Health,beaminghealth.com,Pediatrics,Raquel Scott <raquel@sempervirensvc.com>,Hot List,1800000.0,Healthcare
38380917,279343562,Snug,getsnug.com,Personal Finance,Colin Tobias <colin@sempervirensvc.com>,Not Active,"",Fintech
196977515,161113312,Clade,clade.co,Financial Infrastructure,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,14270000.0,Fintech
196408317,296936618,Mesta,mesta.xyz,B2B Payments,Colin Tobias <colin@sempervirensvc.com>,Hot List,"",Fintech
196143291,300522241,Latitude Health,latitudehealth.com,Payer Infrastructure / Tools,Colin Tobias <colin@sempervirensvc.com>,Meeting Held,"",Healthcare
168622216,287823786,Chamber Cardiology,chambercardio.com,Speciality Telemedicine,Raquel Scott <raquel@sempervirensvc.com>,Meeting,7270000.0,Healthcare
194236319,294014766,Clinch,clinchit.io,AI Co-Pilots,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Enterprise Software
194385559,294775199,Methodic,methodic.work,Payroll,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Enterprise Software
194412975,302191400,Fortifyeducation,fortifyeducation.com,Financial Infrastructure,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Fintech
194537507,283298712,Brevity Pitch,brevitypitch.com,L&D And Upskilling,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Enterprise Software
190392748,301425704,Oun,oun.homes,"Wellness (mediation, Fitness, Etc)",Colin Tobias <colin@sempervirensvc.com>,Tracking,"",Fintech
135750857,285602496,XO Health,xohealth.com,B2B Insurtech,Robby Peters <robby@sempervirensvc.com>,Tracking,"",Fintech
194263046,283346564,Flint,withflint.com,Core HR,Colin Tobias <colin@sempervirensvc.com>,Hot List,"",Healthcare
193735130,150128859,Daivergent,daivergent.com,Behavioral Health,Raquel Scott <raquel@sempervirensvc.com>,Meeting Held,3950000.0,Healthcare
194521128,302457234,NovaHR,,Core HR,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Enterprise Software
195521235,302505171,RituWell by JETSWEAT,rituwell.ai,"Wellness (mediation, Fitness, Etc)",Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Healthcare
173149716,280780522,Faros Health,faroshealth.com,Benefits Administration,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
169597137,294741911,Integral Health,integralhealth.me,Behavioral Health,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Healthcare
171230135,298679281,Elysian Insurance Services,elysian.is,B2B Insurtech,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Enterprise Software
172528344,297938974,town square,jointownsquare.com,Care Coordination / Navigation,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Healthcare
169028546,265102322,Workflow86,workflow86.com,Administrative AI,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,810000.0,Enterprise Software
183475493,291065944,Fig Medical,figmedical.co,Prior authorization,Raquel Scott <raquel@sempervirensvc.com>,Not Active,230000.0,Healthcare
174092335,299439836,Yourstepshealth,yourstepshealth.com,Pediatrics,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
139216233,292386077,Aligned Marketplace,alignedmarketplace.com,General & Primary Care,Robby Peters <robby@sempervirensvc.com>,Tracking,10000000.0,Healthcare
168166903,297051230,Elayne,meetelayne.com,Caregiving & Aging,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Enterprise Software
111335143,281858094,Well Theory,welltheory.com,Chronic Condition Management (non-Diabetes),Robby Peters <robby@sempervirensvc.com>,Not Active,11090000.0,Healthcare
156733431,1792178,Gather Health,gatherhealth.com,Caregiving & Aging,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
164583192,263810696,Tali,tali.ai,Provider Workflow Management,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
195348740,287882140,Teleskope,teleskope.ai,Compliance & Security,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,13070000.0,Enterprise Software
195348737,294204311,Dosu,dosu.dev,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,7750000.0,Enterprise Software
195348692,296089091,Grupo Serval,serval.com,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,"",Enterprise Software
186802227,293114502,Basis,getbasis.ai,Business FP&A,Raquel Scott <raquel@sempervirensvc.com>,Hot List,"",Enterprise Software
150889592,265660686,dandelion health,dandelionhealth.ai,Clinical AI,Raquel Scott <raquel@sempervirensvc.com>,Tracking,14450000.0,Healthcare
193369754,301568782,Autonomic Health,autonomichealth.ai,AI Co-Pilots,Colin Tobias <colin@sempervirensvc.com>,Tracking,"",Healthcare
193602502,300080666,Sunflower,sunflowersober.com,"Wellness (mediation, Fitness, Etc)",Colin Tobias <colin@sempervirensvc.com>,Not Active,"",Healthcare
193369760,295066382,Toothsome.io,toothsome.io,Care Coordination / Navigation,Colin Tobias <colin@sempervirensvc.com>,Tracking,"",Healthcare
184885540,294742087,MIla Health Inc,milahealth.com,Administrative AI,Colin Tobias <colin@sempervirensvc.com>,Tracking,"",Healthcare
193232339,220300586,pay theory,paytheory.com,B2B Payments,Colin Tobias <colin@sempervirensvc.com>,Not Active,2140000.0,Fintech
187799854,197509987,Awell Health,awellhealth.com,EHRs & Data Systems,Colin Tobias <colin@sempervirensvc.com>,Not Active,6830000.0,Healthcare
175489286,299247676,Nebo,nebo.health,Care Coordination / Navigation,Colin Tobias <colin@sempervirensvc.com>,Hot List,"",Healthcare
185159345,1734886,Cerkl,cerkl.com,Employee Engagement,Colin Tobias <colin@sempervirensvc.com>,Not Active,10790000.0,Enterprise Software
182955548,296097397,The Public Interest Company,publicinterestco.com,Healthcare Payments,Colin Tobias <colin@sempervirensvc.com>,Tracking,"",Healthcare
184885690,300697753,Kariashealth,kariashealth.com,Healthcare Payments,Colin Tobias <colin@sempervirensvc.com>,Tracking,"",Healthcare
184895789,285225418,Valar Labs,valarlabs.com,Cancer & Oncology,Raquel Scott <raquel@sempervirensvc.com>,Hot List,23640000.0,Healthcare
194182595,300264996,Tanagram,tanagram.app,Compliance & Security,Raquel Scott <raquel@sempervirensvc.com>,To Pass,"",Enterprise Software
171017811,287367611,Metriport,metriport.com,EHRs & Data Systems,Allison Baum Gates <allison@sempervirensvc.com>; Robby Peters <robby@sempervirensvc.com>,Hot List,2640000.0,Healthcare
38193575,283377223,Certifyos,certifyos.com,Provider Workflow Management,Robby Peters <robby@sempervirensvc.com>,Legal Review,17270000.0,Healthcare
183355614,296033774,Melurna,melurna.com,Compliance & Security,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Enterprise Software
193752357,302279588,Jib Job,,Sourcing And Recruitment,Allison Baum Gates <allison@sempervirensvc.com>,Hot List,"",Enterprise Software
193224109,290657746,Soundboard,joinsoundboard.com,SMB Enterprise Tools,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Enterprise Software
150889734,285003401,Isaac Health,myisaachealth.com,Neurological & Brain Health,Raquel Scott <raquel@sempervirensvc.com>,Not Active,9090000.0,Healthcare
184074724,112510614,Zerigo Health,zerigohealth.com,Chronic Condition Management (non-Diabetes),Robby Peters <robby@sempervirensvc.com>,Not Active,"",Healthcare
183154483,300293672,Midian Life,midianlife.com,Caregiving & Aging,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
193232354,224695119,Tembo Health,tembo.health,Neurological & Brain Health,Colin Tobias <colin@sempervirensvc.com>,To Pass,8140000.0,Healthcare
184886796,297103511,Cylinderhealth,cylinderhealth.com,Chronic Condition Management (non-Diabetes),Raquel Scott <raquel@sempervirensvc.com>,GOF II Candidates,44800000.0,Healthcare
41977822,281999515,Laguna,lagunahealth.com,Healthcare Payments,Robby Peters <robby@sempervirensvc.com>,Portfolio,25640000.0,Healthcare
184886846,290294398,Summer,meetsummer.com,Personal Finance,Raquel Scott <raquel@sempervirensvc.com>,Portfolio,29820000.0,Fintech
35194696,213993385,Wagmo,wagmo.io,Benefits Administration,Allison Baum Gates <allison@sempervirensvc.com>,Portfolio,22150000.0,Enterprise Software
183678092,285024284,Metriport,metriport.ai,Administrative AI,Robby Peters <robby@sempervirensvc.com>,Not Active,"",Healthcare
151121204,294613903,Fora,fora.day,Compliance & Security,Raquel Scott <raquel@sempervirensvc.com>,Tracking,3450000.0,Enterprise Software
193114194,283051338,Chronius,chroniushealth.com,Chronic Condition Management (non-Diabetes),Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Healthcare
193871425,302298069,Definity,,Procurement and Vendor Management,Colin Tobias <colin@sempervirensvc.com>,Not Active,"",Healthcare
194226916,302290583,Silvershield,silvershield.ai,Caregiving & Aging,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Enterprise Software
193454451,291919769,Juniver,joinjuniver.com,Behavioral Health,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Healthcare
167928196,297844886,Accel Health,accelhealth.ai,Sourcing And Recruitment,Colin Tobias <colin@sempervirensvc.com>,Not Active,"",Healthcare
193347904,302060129,Herenow,herenow.health,Pediatrics,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Healthcare
189805522,290927279,Adni (Formerly Lumify),adni.co,Sourcing And Recruitment,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Enterprise Software
193751421,223982948,Cloudphysician,cloudphysician.net,AI Co-Pilots,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,13180000.0,Healthcare
193870983,300255989,PrimaryMD,primary-md.com,Care Coordination / Navigation,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Healthcare
36537749,283049021,Salsa.dev,salsa.dev,Financial Infrastructure,Robby Peters <robby@sempervirensvc.com>,Portfolio,27270000.0,Fintech
191056365,268188002,Empathy,empathy.com,Caregiving & Aging,Allison Baum Gates <allison@sempervirensvc.com>,Portfolio,81820000.0,Enterprise Software
146563492,293941328,Prospect,joinprospect.com,Business FP&A,Allison Baum Gates <allison@sempervirensvc.com>,Meeting,"",Enterprise Software
194733136,302166039,Alden,alden.health,Home Testing And Care,Colin Tobias <colin@sempervirensvc.com>,Looking for Intro,"",Healthcare
194705078,300704673,tendercare,trytendercare.com,Caregiving & Aging,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,"",Healthcare
194705064,294742362,Silna Health,silnahealth.com,Administrative AI,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,24550000.0,Healthcare
194705047,224924382,Rox,rox.com,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,"",Enterprise Software
194705029,294618731,reken.ai,reken.ai,Compliance & Security,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,9090000.0,Enterprise Software
194705017,290728196,Kintsugi,trykintsugi.com,Business FP&A,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,25450000.0,Enterprise Software
194705001,293114443,Harmonic Security,harmonic.security,Compliance & Security,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,22270000.0,Enterprise Software
194704934,262647276,BetterHe,betterleap.com,Sourcing And Recruitment,Raquel Scott <raquel@sempervirensvc.com>,Meeting Held,11820000.0,Healthcare
194704920,219844667,Arcjet Media,arcjet.com,Compliance & Security,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,3270000.0,Enterprise Software
194704805,292219844,Home Anatomy,anatomy.com,Administrative AI,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,24180000.0,Healthcare
194704322,292338598,Fortuna Health,fortunahealth.com,VBC Enablement,Raquel Scott <raquel@sempervirensvc.com>,Tracking,3640000.0,Healthcare
186770248,290579115,mpathhealth.com,mpathhealth.com,Cancer & Oncology,Raquel Scott <raquel@sempervirensvc.com>,Not Active,3740000.0,Healthcare
184594100,279423726,Blue Note Therapeutics,bluenotetherapeutics.com,Cancer & Oncology,Raquel Scott <raquel@sempervirensvc.com>,Not Active,28590000.0,Healthcare
164509735,271775615,Cylerity,cylerity.com,Healthcare Payments,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
184884691,286930647,MeCo Diagnostics,mecodiagnostics.com,Cancer & Oncology,Raquel Scott <raquel@sempervirensvc.com>,Not Active,450000.0,Healthcare
175802777,285746494,SiteLabs,sitelabsglobal.com,Pharmacies & Fulfillment,Raquel Scott <raquel@sempervirensvc.com>,Not Active,230000.0,Healthcare
168484387,298446033,Hireseals,hireseals.ai,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Enterprise Software
150893184,289342048,Siftwell,siftwell.ai,Clinical AI,Raquel Scott <raquel@sempervirensvc.com>,Not Active,7080000.0,Healthcare
167430427,291854383,Five Lives,fivelives.health,Neurological & Brain Health,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
193735017,297054698,DifferentHealth,differenthealth.com,Speciality Telemedicine,Raquel Scott <raquel@sempervirensvc.com>,Meeting Held,"",Healthcare
171172116,295180235,Neru Health,neruhealth.com,Chronic Condition Management (non-Diabetes),Raquel Scott <raquel@sempervirensvc.com>,Meeting Held,140000.0,Healthcare
194617490,290272983,Another,anothercomeup.com,Procurement and Vendor Management,Raquel Scott <raquel@sempervirensvc.com>,Meeting,"",Enterprise Software
194419554,302429540,Sunny Health AI,sunnyhealth.ai,Care Coordination / Navigation,Colin Tobias <colin@sempervirensvc.com>,Meeting Held,"",Healthcare
194414647,301145762,Eternal,eternal.co,Speciality Telemedicine,Allison Baum Gates <allison@sempervirensvc.com>,Looking for Intro,11820000.0,Healthcare
194412983,268340088,Iona Mind,ionamind.com,Behavioral Health,Colin Tobias <colin@sempervirensvc.com>,Not Active,"",Healthcare
173340669,2532939,OUTRO,outro.com,Neurological & Brain Health,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,1270000.0,Healthcare
194404190,100246487,Meru Health,meruhealth.com,Behavioral Health,Colin Tobias <colin@sempervirensvc.com>,Not Active,48480000.0,Healthcare
186185906,300057333,"Concorde Health, Inc.",myconcordehealth.com,Nutrition & Weight Loss,Raquel Scott <raquel@sempervirensvc.com>,To Pass,"",Healthcare
168720101,285242795,Tuva Health,tuvahealth.com,EHRs & Data Systems,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,4550000.0,Healthcare
194152128,301307858,fifteenth,fifteenth.com,Personal Finance,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,7500000.0,Fintech
194151858,291830863,Town,town.com,1099 Infrastructure,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,"",Enterprise Software
194046365,1772380,BrainCheck,braincheck.com,Neurological & Brain Health,Raquel Scott <raquel@sempervirensvc.com>,Looking for Intro,35450000.0,Healthcare
172217294,299287962,Emerge,withemerge.com,Embedded Insurance,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Enterprise Software
168542407,289645465,Neu Health,neu.health,Neurological & Brain Health,Raquel Scott <raquel@sempervirensvc.com>,Not Active,5610000.0,Healthcare
145870121,286443453,Pluto Health,pluto.health,EHRs & Data Systems,Colin Tobias <colin@sempervirensvc.com>; Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Healthcare
189439680,301367574,Originbenefits,originbenefits.ai,Administrative AI,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Enterprise Software
193235757,283014480,Carbon Arc,carbonarc.co,B2B Payments,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,50910000.0,Enterprise Software
135354087,291293898,Trysqueeze,trysqueeze.io,Sourcing And Recruitment,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,230000.0,Enterprise Software
193735262,299980220,Vamrah,vamrah.ai,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Tracking,"",Enterprise Software
193735152,286407051,Zizzi,xventures.de,AI Co-Pilots,Raquel Scott <raquel@sempervirensvc.com>,Recently Added,"",Enterprise Software
193369769,224920790,Dosentrx,dosentrx.com,Pharmacies & Fulfillment,Colin Tobias <colin@sempervirensvc.com>,To Pass,"",Healthcare
139229278,292594312,Kept.io,kept.io,Core HR,Allison Baum Gates <allison@sempervirensvc.com>,Hot List,"",Enterprise Software
186448699,301232402,Adni,,Sourcing And Recruitment,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Healthcare
183099296,129730596,Prenosis,prenosis.com,Clinical AI,Raquel Scott <raquel@sempervirensvc.com>,Not Active,10410000.0,Healthcare
193325353,298070572,Socially Recruited,iamgaia.com,Sourcing And Recruitment,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Enterprise Software
152100789,286927280,Kombo,kombo.dev,SMB Enterprise Tools,Colin Tobias <colin@sempervirensvc.com>,Not Active,7270000.0,Enterprise Software
193232003,301551847,Athena Intelligence,athenaintel.com,AI Co-Pilots,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Enterprise Software
190397499,285260919,Credo,credohealth.com,EHRs & Data Systems,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,7500000.0,Healthcare
183352371,297966850,offcall,offcall.com,Provider Workflow Management,Allison Baum Gates <allison@sempervirensvc.com>,Hot List,1820000.0,Healthcare
41821513,255159256,Wingspan,wingspan.app,1099 Infrastructure,"",Not Active,15910000.0,Enterprise Software
187927248,201824508,Outcomes4Me,outcomes4me.com,Cancer & Oncology,Allison Baum Gates <allison@sempervirensvc.com>; Raquel Scott <raquel@sempervirensvc.com>,Not Active,19270000.0,Healthcare
193110490,283344476,Quarter20,buildquarter20.com,Productivity Tools,Raquel Scott <raquel@sempervirensvc.com>,Tracking,"",Enterprise Software
